project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $35743.,['Data Analysis'],60500,PLCS0934,2022-06-01,2021-04-27
Design a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $186768.,"['Android Mobile App Programming', 'Data Analysis']",153500,PLCS0935,2021-06-01,2021-02-12
Design a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $200536.,['Machine Learning'],376500,PLCS0936,2021-07-02,2021-04-17
Implement a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $150179.,"['UI/UX Design', 'Data Analysis']",193500,PLCS0937,2021-10-16,2021-04-20
Implement a Web Development Platform,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 5 months of work and a budget of $233299.,"['Web Development', 'Android Mobile App Programming']",264500,PLCS0938,2021-11-22,2021-06-17
Design a UI/UX Design App,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $121189.,['UI/UX Design'],325500,PLCS0939,2021-08-26,2021-02-12
Implement a Web Development App,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 4 months of work and a budget of $270203.,"['Web Development', 'Data Analysis']",209500,PLCS0940,2021-03-27,2021-04-22
Code a C++ Programming Platform,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $271912.,"['C++ Programming', 'Web Development']",117000,PLCS0941,2022-01-19,2021-05-14
Code a C++ Programming Platform,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $391205.,"['C++ Programming', 'Machine Learning']",257000,PLCS0942,2021-05-16,2021-05-31
Create a Java Programming Project,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $213283.,"['Java Programming', 'C++ Programming']",333500,PLCS0943,2022-06-11,2021-05-28
Create a Java Programming Platform,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $38113.,['Java Programming'],327000,PLCS0944,2021-05-13,2021-06-01
Code a Java Programming Project,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $378538.,['Java Programming'],173500,PLCS0945,2022-06-23,2021-05-25
Code a Java Programming Project,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $341527.,['Java Programming'],375000,PLCS0946,2021-09-30,2021-06-21
Develop a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $300226.,"['Data Analysis', 'C++ Programming']",189000,PLCS0947,2022-01-06,2021-05-22
Design a Data Analysis Project,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $246293.,"['Data Analysis', 'Java Programming']",382000,PLCS0948,2021-04-07,2021-04-01
Implement a Machine Learning Project,This project involves Machine Learning and requires a team of 2 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $203600.,['Machine Learning'],112000,PLCS0949,2022-11-01,2021-04-26
Code a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $381220.,"['Data Analysis', 'Java Programming']",154500,PLCS0950,2021-05-16,2021-06-27
Build a C++ Programming System,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $268812.,"['C++ Programming', 'Machine Learning']",82500,PLCS0951,2022-11-23,2021-04-24
Build a C++ Programming Platform,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $148620.,"['C++ Programming', 'Web Development']",136500,PLCS0952,2022-09-22,2021-05-06
Develop a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $376972.,"['Android Mobile App Programming', 'Machine Learning']",342000,PLCS0953,2021-03-12,2021-03-14
Implement a C++ Programming App,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $135653.,['C++ Programming'],319000,PLCS0954,2022-08-06,2021-03-05
Develop a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $346732.,['C++ Programming'],82000,PLCS0955,2021-04-02,2021-03-29
Implement a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $207726.,"['Data Analysis', 'Android Mobile App Programming']",256000,PLCS0956,2022-04-15,2021-05-02
Design a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 6 months of work and a budget of $191460.,"['Web Development', 'Java Programming']",345500,PLCS0957,2021-06-06,2021-02-06
Implement a C++ Programming App,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $194109.,['C++ Programming'],313500,PLCS0958,2021-03-12,2021-06-11
Create a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $314114.,"['UI/UX Design', 'Machine Learning']",173500,PLCS0959,2022-12-27,2021-03-17
Implement a Web Development System,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $49504.,"['Web Development', 'UI/UX Design']",68500,PLCS0960,2022-10-24,2021-03-04
Implement a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $63475.,['Java Programming'],208500,PLCS0961,2021-10-23,2021-04-13
Code a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $216102.,['UI/UX Design'],171000,PLCS0962,2022-04-08,2021-06-03
